grinning face,#1f600
supervillain,#1f9b9
man supervillain,#1f9b9_200d_2642_fe0f
woman supervillain,#1f9b9_200d_2640_fe0f
mage,#1f9d9
man mage,#1f9d9_200d_2642_fe0f
woman mage,#1f9d9_200d_2640_fe0f
fairy,#1f9da
man fairy,#1f9da_200d_2642_fe0f
woman fairy,#1f9da_200d_2640_fe0f
vampire,#1f9db
man vampire,#1f9db_200d_2642_fe0f
woman vampire,#1f9db_200d_2640_fe0f
merperson,#1f9dc
merman,#1f9dc_200d_2642_fe0f
mermaid,#1f9dc_200d_2640_fe0f
elf,#1f9dd
man elf,#1f9dd_200d_2642_fe0f
woman elf,#1f9dd_200d_2640_fe0f
genie,#1f9de
man genie,#1f9de_200d_2642_fe0f
woman genie,#1f9de_200d_2640_fe0f
zombie,#1f9df
man zombie,#1f9df_200d_2642_fe0f
woman zombie,#1f9df_200d_2640_fe0f
person getting massage,#1f486
man getting massage,#1f486_200d_2642_fe0f
woman getting massage,#1f486_200d_2640_fe0f
person getting haircut,#1f487
man getting haircut,#1f487_200d_2642_fe0f
woman getting haircut,#1f487_200d_2640_fe0f
person walking,#1f6b6
man walking,#1f6b6_200d_2642_fe0f
woman walking,#1f6b6_200d_2640_fe0f
person standing,#1f9cd
man standing,#1f9cd_200d_2642_fe0f
woman standing,#1f9cd_200d_2640_fe0f
person kneeling,#1f9ce
man kneeling,#1f9ce_200d_2642_fe0f
woman kneeling,#1f9ce_200d_2640_fe0f
person with white cane,#1f9d1_200d_1f9af
man with white cane,#1f468_200d_1f9af
woman with white cane,#1f469_200d_1f9af
person in motorized wheelchair,#1f9d1_200d_1f9bc
man in motorized wheelchair,#1f468_200d_1f9bc
woman in motorized wheelchair,#1f469_200d_1f9bc
person in manual wheelchair,#1f9d1_200d_1f9bd
man in manual wheelchair,#1f468_200d_1f9bd
woman in manual wheelchair,#1f469_200d_1f9bd
person running,#1f3c3
man running,#1f3c3_200d_2642_fe0f
woman running,#1f3c3_200d_2640_fe0f
woman dancing,#1f483
man dancing,#1f57a
person in suit levitating,#1f574
people with bunny ears,#1f46f
men with bunny ears,#1f46f_200d_2642_fe0f
women with bunny ears,#1f46f_200d_2640_fe0f
person in steamy room,#1f9d6
man in steamy room,#1f9d6_200d_2642_fe0f
woman in steamy room,#1f9d6_200d_2640_fe0f
person climbing,#1f9d7
man climbing,#1f9d7_200d_2642_fe0f
woman climbing,#1f9d7_200d_2640_fe0f
person fencing,#1f93a
horse racing,#1f3c7
skier,#26f7
snowboarder,#1f3c2
person golfing,#1f3cc
man golfing,#1f3cc_fe0f_200d_2642_fe0f
woman golfing,#1f3cc_fe0f_200d_2640_fe0f
person surfing,#1f3c4
man surfing,#1f3c4_200d_2642_fe0f
woman surfing,#1f3c4_200d_2640_fe0f
person rowing boat,#1f6a3
man rowing boat,#1f6a3_200d_2642_fe0f
woman rowing boat,#1f6a3_200d_2640_fe0f
person swimming,#1f3ca
man swimming,#1f3ca_200d_2642_fe0f
woman swimming,#1f3ca_200d_2640_fe0f
person bouncing ball,#26f9
man bouncing ball,#26f9_fe0f_200d_2642_fe0f
woman bouncing ball,#26f9_fe0f_200d_2640_fe0f
person lifting weights,#1f3cb
man lifting weights,#1f3cb_fe0f_200d_2642_fe0f
woman lifting weights,#1f3cb_fe0f_200d_2640_fe0f
person biking,#1f6b4
man biking,#1f6b4_200d_2642_fe0f
woman biking,#1f6b4_200d_2640_fe0f
person mountain biking,#1f6b5
man mountain biking,#1f6b5_200d_2642_fe0f
woman mountain biking,#1f6b5_200d_2640_fe0f
person cartwheeling,#1f938
man cartwheeling,#1f938_200d_2642_fe0f
woman cartwheeling,#1f938_200d_2640_fe0f
people wrestling,#1f93c
men wrestling,#1f93c_200d_2642_fe0f
women wrestling,#1f93c_200d_2640_fe0f
person playing water polo,#1f93d
man playing water polo,#1f93d_200d_2642_fe0f
woman playing water polo,#1f93d_200d_2640_fe0f
person playing handball,#1f93e
man playing handball,#1f93e_200d_2642_fe0f
woman playing handball,#1f93e_200d_2640_fe0f
person juggling,#1f939
man juggling,#1f939_200d_2642_fe0f
woman juggling,#1f939_200d_2640_fe0f
person in lotus position,#1f9d8
man in lotus position,#1f9d8_200d_2642_fe0f
woman in lotus position,#1f9d8_200d_2640_fe0f
person taking bath,#1f6c0
person in bed,#1f6cc
people holding hands,#1f9d1_200d_1f91d_200d_1f9d1
women holding hands,#1f46d
woman and man holding hands,#1f46b
men holding hands,#1f46c
kiss,#1f48f
kiss: woman, man,#1f469_200d_2764_fe0f_200d_1f48b_200d_1f468
kiss: man, man,#1f468_200d_2764_fe0f_200d_1f48b_200d_1f468
kiss: woman, woman,#1f469_200d_2764_fe0f_200d_1f48b_200d_1f469
couple with heart,#1f491
couple with heart: woman, man,#1f469_200d_2764_fe0f_200d_1f468
couple with heart: man, man,#1f468_200d_2764_fe0f_200d_1f468
couple with heart: woman, woman,#1f469_200d_2764_fe0f_200d_1f469
family,#1f46a
family: man, woman, boy,#1f468_200d_1f469_200d_1f466
family: man, woman, girl,#1f468_200d_1f469_200d_1f467
family: man, woman, girl, boy,#1f468_200d_1f469_200d_1f467_200d_1f466
family: man, woman, boy, boy,#1f468_200d_1f469_200d_1f466_200d_1f466
family: man, woman, girl, girl,#1f468_200d_1f469_200d_1f467_200d_1f467
family: man, man, boy,#1f468_200d_1f468_200d_1f466
family: man, man, girl,#1f468_200d_1f468_200d_1f467
family: man, man, girl, boy,#1f468_200d_1f468_200d_1f467_200d_1f466
family: man, man, boy, boy,#1f468_200d_1f468_200d_1f466_200d_1f466
family: man, man, girl, girl,#1f468_200d_1f468_200d_1f467_200d_1f467
family: woman, woman, boy,#1f469_200d_1f469_200d_1f466
family: woman, woman, girl,#1f469_200d_1f469_200d_1f467
family: woman, woman, girl, boy,#1f469_200d_1f469_200d_1f467_200d_1f466
family: woman, woman, boy, boy,#1f469_200d_1f469_200d_1f466_200d_1f466
family: woman, woman, girl, girl,#1f469_200d_1f469_200d_1f467_200d_1f467
family: man, boy,#1f468_200d_1f466
family: man, boy, boy,#1f468_200d_1f466_200d_1f466
family: man, girl,#1f468_200d_1f467
family: man, girl, boy,#1f468_200d_1f467_200d_1f466
family: man, girl, girl,#1f468_200d_1f467_200d_1f467
family: woman, boy,#1f469_200d_1f466
family: woman, boy, boy,#1f469_200d_1f466_200d_1f466
family: woman, girl,#1f469_200d_1f467
family: woman, girl, boy,#1f469_200d_1f467_200d_1f466
family: woman, girl, girl,#1f469_200d_1f467_200d_1f467
speaking head,#1f5e3
bust in silhouette,#1f464
busts in silhouette,#1f465
people hugging,#1fac2
footprints,#1f463
red hair,#1f9b0
curly hair,#1f9b1
white hair,#1f9b3
bald,#1f9b2
monkey face,#1f435
monkey,#1f412
gorilla,#1f98d
orangutan,#1f9a7
dog face,#1f436
dog,#1f415
guide dog,#1f9ae
service dog,#1f415_200d_1f9ba
poodle,#1f429
wolf,#1f43a
fox,#1f98a
raccoon,#1f99d
cat face,#1f431
cat,#1f408
black cat,#1f408_200d_2b1b
lion,#1f981
tiger face,#1f42f
tiger,#1f405
leopard,#1f406
horse face,#1f434
horse,#1f40e
unicorn,#1f984
zebra,#1f993
deer,#1f98c
bison,#1f9ac
cow face,#1f42e
ox,#1f402
water buffalo,#1f403
cow,#1f404
pig face,#1f437
pig,#1f416
boar,#1f417
pig nose,#1f43d
ram,#1f40f
ewe,#1f411
goat,#1f410
camel,#1f42a
two-hump camel,#1f42b
llama,#1f999
giraffe,#1f992
elephant,#1f418
mammoth,#1f9a3
rhinoceros,#1f98f
hippopotamus,#1f99b
mouse face,#1f42d
mouse,#1f401
rat,#1f400
hamster,#1f439
rabbit face,#1f430
rabbit,#1f407
chipmunk,#1f43f
beaver,#1f9ab
hedgehog,#1f994
bat,#1f987
bear,#1f43b
polar bear,#1f43b_200d_2744_fe0f
koala,#1f428
panda,#1f43c
sloth,#1f9a5
otter,#1f9a6
skunk,#1f9a8
kangaroo,#1f998
badger,#1f9a1
paw prints,#1f43e
turkey,#1f983
chicken,#1f414
rooster,#1f413
hatching chick,#1f423
baby chick,#1f424
front-facing baby chick,#1f425
bird,#1f426
penguin,#1f427
dove,#1f54a
eagle,#1f985
duck,#1f986
swan,#1f9a2
owl,#1f989
dodo,#1f9a4
feather,#1fab6
flamingo,#1f9a9
peacock,#1f99a
parrot,#1f99c
frog,#1f438
crocodile,#1f40a
turtle,#1f422
lizard,#1f98e
snake,#1f40d
dragon face,#1f432
dragon,#1f409
sauropod,#1f995
T-Rex,#1f996
spouting whale,#1f433
whale,#1f40b
dolphin,#1f42c
seal,#1f9ad
fish,#1f41f
tropical fish,#1f420
blowfish,#1f421
shark,#1f988
octopus,#1f419
spiral shell,#1f41a
snail,#1f40c
butterfly,#1f98b
bug,#1f41b
ant,#1f41c
honeybee,#1f41d
beetle,#1fab2
lady beetle,#1f41e
cricket,#1f997
cockroach,#1fab3
spider,#1f577
spider web,#1f578
scorpion,#1f982
mosquito,#1f99f
fly,#1fab0
worm,#1fab1
microbe,#1f9a0
bouquet,#1f490
cherry blossom,#1f338
white flower,#1f4ae
rosette,#1f3f5
rose,#1f339
wilted flower,#1f940
hibiscus,#1f33a
sunflower,#1f33b
blossom,#1f33c
tulip,#1f337
seedling,#1f331
potted plant,#1fab4
evergreen tree,#1f332
deciduous tree,#1f333
palm tree,#1f334
cactus,#1f335
sheaf of rice,#1f33e
herb,#1f33f
shamrock,#2618
four leaf clover,#1f340
maple leaf,#1f341
fallen leaf,#1f342
leaf fluttering in wind,#1f343
grapes,#1f347
melon,#1f348
watermelon,#1f349
tangerine,#1f34a
lemon,#1f34b
banana,#1f34c
pineapple,#1f34d
mango,#1f96d
red apple,#1f34e
green apple,#1f34f
pear,#1f350
peach,#1f351
cherries,#1f352
strawberry,#1f353
blueberries,#1fad0
kiwi fruit,#1f95d
tomato,#1f345
olive,#1fad2
coconut,#1f965
avocado,#1f951
eggplant,#1f346
potato,#1f954
carrot,#1f955
ear of corn,#1f33d
hot pepper,#1f336
bell pepper,#1fad1
cucumber,#1f952
leafy green,#1f96c
broccoli,#1f966
garlic,#1f9c4
onion,#1f9c5
mushroom,#1f344
peanuts,#1f95c
chestnut,#1f330
bread,#1f35e
croissant,#1f950
baguette bread,#1f956
flatbread,#1fad3
pretzel,#1f968
bagel,#1f96f
pancakes,#1f95e
waffle,#1f9c7
cheese wedge,#1f9c0
meat on bone,#1f356
poultry leg,#1f357
cut of meat,#1f969
bacon,#1f953
hamburger,#1f354
french fries,#1f35f
pizza,#1f355
hot dog,#1f32d
sandwich,#1f96a
taco,#1f32e
burrito,#1f32f
tamale,#1fad4
stuffed flatbread,#1f959
falafel,#1f9c6
egg,#1f95a
cooking,#1f373
shallow pan of food,#1f958
pot of food,#1f372
fondue,#1fad5
bowl with spoon,#1f963
green salad,#1f957
popcorn,#1f37f
butter,#1f9c8
salt,#1f9c2
canned food,#1f96b
bento box,#1f371
rice cracker,#1f358
rice ball,#1f359
cooked rice,#1f35a
curry rice,#1f35b
steaming bowl,#1f35c
spaghetti,#1f35d
roasted sweet potato,#1f360
oden,#1f362
sushi,#1f363
fried shrimp,#1f364
fish cake with swirl,#1f365
moon cake,#1f96e
dango,#1f361
dumpling,#1f95f
fortune cookie,#1f960
takeout box,#1f961
crab,#1f980
lobster,#1f99e
shrimp,#1f990
squid,#1f991
oyster,#1f9aa
soft ice cream,#1f366
shaved ice,#1f367
ice cream,#1f368
doughnut,#1f369
cookie,#1f36a
birthday cake,#1f382
shortcake,#1f370
cupcake,#1f9c1
pie,#1f967
chocolate bar,#1f36b
candy,#1f36c
lollipop,#1f36d
custard,#1f36e
honey pot,#1f36f
baby bottle,#1f37c
glass of milk,#1f95b
hot beverage,#2615
teapot,#1fad6
teacup without handle,#1f375
sake,#1f376
bottle with popping cork,#1f37e
wine glass,#1f377
cocktail glass,#1f378
tropical drink,#1f379
beer mug,#1f37a
clinking beer mugs,#1f37b
clinking glasses,#1f942
tumbler glass,#1f943
cup with straw,#1f964
bubble tea,#1f9cb
beverage box,#1f9c3
mate,#1f9c9
ice,#1f9ca
chopsticks,#1f962
fork and knife with plate,#1f37d
fork and knife,#1f374
spoon,#1f944
kitchen knife,#1f52a
amphora,#1f3fa
globe showing Europe-Africa,#1f30d
globe showing Americas,#1f30e
globe showing Asia-Australia,#1f30f
globe with meridians,#1f310
world map,#1f5fa
map of Japan,#1f5fe
compass,#1f9ed
snow-capped mountain,#1f3d4
mountain,#26f0
volcano,#1f30b
mount fuji,#1f5fb
camping,#1f3d5
beach with umbrella,#1f3d6
desert,#1f3dc
desert island,#1f3dd
national park,#1f3de
stadium,#1f3df
classical building,#1f3db
building construction,#1f3d7
brick,#1f9f1
rock,#1faa8
wood,#1fab5
hut,#1f6d6
houses,#1f3d8
derelict house,#1f3da
house,#1f3e0
house with garden,#1f3e1
office building,#1f3e2
Japanese post office,#1f3e3
post office,#1f3e4
hospital,#1f3e5
bank,#1f3e6
hotel,#1f3e8
love hotel,#1f3e9
convenience store,#1f3ea
school,#1f3eb
department store,#1f3ec
factory,#1f3ed
Japanese castle,#1f3ef
castle,#1f3f0
wedding,#1f492
Tokyo tower,#1f5fc
Statue of Liberty,#1f5fd
church,#26ea
mosque,#1f54c
hindu temple,#1f6d5
synagogue,#1f54d
shinto shrine,#26e9
kaaba,#1f54b
fountain,#26f2
tent,#26fa
foggy,#1f301
night with stars,#1f303
cityscape,#1f3d9
sunrise over mountains,#1f304
sunrise,#1f305
cityscape at dusk,#1f306
sunset,#1f307
bridge at night,#1f309
hot springs,#2668
carousel horse,#1f3a0
ferris wheel,#1f3a1
roller coaster,#1f3a2
barber pole,#1f488
circus tent,#1f3aa
locomotive,#1f682
railway car,#1f683
high-speed train,#1f684
bullet train,#1f685
train,#1f686
metro,#1f687
light rail,#1f688
station,#1f689
tram,#1f68a
monorail,#1f69d
mountain railway,#1f69e
tram car,#1f68b
bus,#1f68c
oncoming bus,#1f68d
trolleybus,#1f68e
minibus,#1f690
ambulance,#1f691
fire engine,#1f692
police car,#1f693
oncoming police car,#1f694
taxi,#1f695
oncoming taxi,#1f696
automobile,#1f697
oncoming automobile,#1f698
sport utility vehicle,#1f699
pickup truck,#1f6fb
delivery truck,#1f69a
articulated lorry,#1f69b
tractor,#1f69c
racing car,#1f3ce
motorcycle,#1f3cd
motor scooter,#1f6f5
manual wheelchair,#1f9bd
motorized wheelchair,#1f9bc
auto rickshaw,#1f6fa
bicycle,#1f6b2
kick scooter,#1f6f4
skateboard,#1f6f9
roller skate,#1f6fc
bus stop,#1f68f
motorway,#1f6e3
railway track,#1f6e4
oil drum,#1f6e2
fuel pump,#26fd
police car light,#1f6a8
horizontal traffic light,#1f6a5
vertical traffic light,#1f6a6
stop sign,#1f6d1
construction,#1f6a7
anchor,#2693
sailboat,#26f5
canoe,#1f6f6
speedboat,#1f6a4
passenger ship,#1f6f3
ferry,#26f4
motor boat,#1f6e5
ship,#1f6a2
airplane,#2708
small airplane,#1f6e9
airplane departure,#1f6eb
airplane arrival,#1f6ec
parachute,#1fa82
seat,#1f4ba
helicopter,#1f681
suspension railway,#1f69f
mountain cableway,#1f6a0
aerial tramway,#1f6a1
satellite,#1f6f0
rocket,#1f680
flying saucer,#1f6f8
bellhop bell,#1f6ce
luggage,#1f9f3
hourglass done,#231b
hourglass not done,#23f3
watch,#231a
alarm clock,#23f0
stopwatch,#23f1
timer clock,#23f2
mantelpiece clock,#1f570
twelve o’clock,#1f55b
twelve-thirty,#1f567
one o’clock,#1f550
one-thirty,#1f55c
two o’clock,#1f551
two-thirty,#1f55d
three o’clock,#1f552
three-thirty,#1f55e
four o’clock,#1f553
four-thirty,#1f55f
five o’clock,#1f554
five-thirty,#1f560
six o’clock,#1f555
six-thirty,#1f561
seven o’clock,#1f556
seven-thirty,#1f562
eight o’clock,#1f557
eight-thirty,#1f563
nine o’clock,#1f558
nine-thirty,#1f564
ten o’clock,#1f559
ten-thirty,#1f565
eleven o’clock,#1f55a
eleven-thirty,#1f566
new moon,#1f311
waxing crescent moon,#1f312
first quarter moon,#1f313
waxing gibbous moon,#1f314
full moon,#1f315
waning gibbous moon,#1f316
last quarter moon,#1f317
waning crescent moon,#1f318
crescent moon,#1f319
new moon face,#1f31a
first quarter moon face,#1f31b
last quarter moon face,#1f31c
thermometer,#1f321
sun,#2600
full moon face,#1f31d
sun with face,#1f31e
ringed planet,#1fa90
star,#2b50
glowing star,#1f31f
shooting star,#1f320
milky way,#1f30c
cloud,#2601
sun behind cloud,#26c5
cloud with lightning and rain,#26c8
sun behind small cloud,#1f324
sun behind large cloud,#1f325
sun behind rain cloud,#1f326
cloud with rain,#1f327
cloud with snow,#1f328
cloud with lightning,#1f329
tornado,#1f32a
fog,#1f32b
wind face,#1f32c
cyclone,#1f300
rainbow,#1f308
closed umbrella,#1f302
umbrella,#2602
umbrella with rain drops,#2614
umbrella on ground,#26f1
high voltage,#26a1
snowflake,#2744
snowman,#2603
snowman without snow,#26c4
comet,#2604
fire,#1f525
droplet,#1f4a7
water wave,#1f30a
jack-o-lantern,#1f383
Christmas tree,#1f384
fireworks,#1f386
sparkler,#1f387
firecracker,#1f9e8
sparkles,#2728
balloon,#1f388
party popper,#1f389
confetti ball,#1f38a
tanabata tree,#1f38b
pine decoration,#1f38d
Japanese dolls,#1f38e
carp streamer,#1f38f
wind chime,#1f390
moon viewing ceremony,#1f391
red envelope,#1f9e7
ribbon,#1f380
wrapped gift,#1f381
reminder ribbon,#1f397
admission tickets,#1f39f
ticket,#1f3ab
military medal,#1f396
trophy,#1f3c6
sports medal,#1f3c5
1st place medal,#1f947
2nd place medal,#1f948
3rd place medal,#1f949
soccer ball,#26bd
baseball,#26be
softball,#1f94e
basketball,#1f3c0
volleyball,#1f3d0
american football,#1f3c8
rugby football,#1f3c9
tennis,#1f3be
flying disc,#1f94f
bowling,#1f3b3
cricket game,#1f3cf
field hockey,#1f3d1
ice hockey,#1f3d2
